Trailer_id,Title,ReleaseYear,Studio,OpeningTheaters,ViewCount,LikeCount,DislikeCount,LikeDislikeRatio,CommentCount,positiveWordsBL,negativeWordsBL,netSentimentBL,scoreAbsoluteAFINN,budget,OpeningWeekendGross,genre,mpaaRating,TotalGross
sGbxmsDFVnE,Star Wars: The Force Awakens,2015,BV,"4,134",102234471,714560,22603,31.61,125383,49328,39503,9825,57170,245000000,"$247,966,675 ",Sci-Fi,PG-13,"$936,662,225 "
xjDjIWPwcPU,Black Panther,2018,BV,"4,020",41069175,425608,16112,26.42,60542,29573,20822,8751,31544,200000000,"$202,003,951 ",Action,PG-13,"$700,059,566 "
6ZfuNTqbHE8,Avengers: Infinity War,2018,BV,"4,474",211464663,3375416,81808,41.26,460473,102528,67284,35244,147384,300000000,"$257,698,183 ",Action,PG-13,"$678,815,482 "
RFinNxS5KN4,Jurassic World,2015,Uni.,"4,274",87448362,327388,16905,19.37,54777,34653,30347,4306,17127,150000000,"$208,806,270 ",Action,PG-13,"$652,270,625 "
eOrNdBpGMv8,Marvel's The Avengers,2012,BV,"4,349",29538513,134450,3466,38.79,36103,21339,16004,5335,19760,220000000,"$207,438,708 ",Action,PG-13,"$623,357,910 "
Q0CbN8sfihY,Star Wars: The Last Jedi,2017,BV,"4,232",51544459,759510,35667,21.29,94078,59274,53934,5340,28836,317000000,"$220,009,584 ",Sci-Fi,PG-13,"$620,181,382 "
ZJDMWVZta3M,Incredibles 2,2018,BV,"4,410",87403402,524451,35828,14.64,43506,13520,5754,7766,26457,200000000,"$182,687,905 ",Animation,PG,"$607,498,593 "
Wji-BZ0oCwg,Rogue One: A Star Wars Story,2016,BV,"4,157",44948778,403736,21442,18.83,97599,31098,14058,17040,58788,200000000,"$155,081,681 ",Sci-Fi,PG-13,"$532,177,324 "
OvW_L8sTu5E,Beauty and the Beast (2017),2017,BV,"4,210",36828369,319259,11219,28.46,26884,15797,7963,7834,20424,160000000,"$174,750,616 ",Fantasy,PG,"$504,014,165 "
3JNLwlcPBPI,Finding Dory,2016,BV,"4,305",30957369,195427,5480,35.66,15393,5140,3230,1910,7039,200000000,"$135,060,273 ",Animation,PG,"$486,295,561 "
tmeOjFno6Do,Avengers: Age of Ultron,2015,BV,"4,276",84445194,570438,13421,42.5,80628,42814,31520,11294,47171,250000000,"$191,271,109 ",Action,PG-13,"$459,005,868 "
GokKUqLcvD8,The Dark Knight Rises,2012,WB,"4,404",36580147,95770,3260,29.38,56828,41039,52010,-10971,15515,250000000,"$160,887,295 ",Comedy,PG-13,"$448,139,099 "
jyPnQw_Lqds,The Hunger Games: Catching Fire,2013,LGF,"4,163",32289126,188768,4459,42.33415564,45124,26320,18916,7404,18220,130000000,"$158,074,286 ",Action,PG-13,"$424,668,047 "
vn9mMeWcgoM,Jurassic World: Fallen Kingdom,2018,Uni.,"4,475",60700357,629763,33753,18.66,73640,30700,32634,-1934,5766,170000000,"$148,024,610 ",Action,PG-13,"$416,769,345 "
1Q8fG0TtVAY,Wonder Woman,2017,WB,"4,165",26498260,226320,8847,25.58,26456,18367,11293,7074,16322,149000000,"$103,251,471 ",Action,PG-13,"$412,563,408 "
5EjG-1U3wqA,Iron Man 3,2013,BV,"4,253",62492923,188186,8721,21.58,31852,17522,15562,1960,6803,200000000,"$174,144,585 ",Action,PG-13,"$409,013,994 "
dKrVegVI0Us,Captain America: Civil War,2016,BV,"4,226",80334036,677184,15065,44.95,141047,64374,41887,22487,68862,250000000,"$179,139,142 ",Action,PG-13,"$408,084,349 "
qoUT7q2iTbQ,The Hunger Games,2012,LGF,"4,137",12723783,24805,798,31.0839599,13642,10711,7443,3268,8022,78000000,"$152,535,747 ",Action,PG-13,"$408,010,692 "
